number,description,citation,editor,type,location,date,text,notes,bibliography
11,slab (stone),SE 69 (2003) REE 9 (tav. XXIII),Mario Cygielman,Other/Unclear Texts,Vetulonia,300-200,[ - - - ]nes funa heχze	[ - - - ]σis	[ - - - ]ke,"The editor reads the second word of line one as θuna, with initial theta, but the top portion of the letter f appears in the photograph, and is actually sketched out in the drawing published in SE.",
12,oinochoe (ceramic),SE 69 (2003) REE 12 (tav. XXIV),Paolo Bruschetti - Adriano Maggiani,Didaskalia,Ager Volsiniensis (Parrano),archaic,[a]χmemnun,The inscription was incised on the torso of a figure seated on a stool.,
13,wall of tomb (tufa),SE 69 (2003) REE 13,Giovanni Colonna,Funerary Texts,Ager Volcentanus (Poggio Buco),recent,aspaσ [vacat] ⅩⅬ	θ,The text appears to be a funerary inscription. The editor suggests the following interpretation: σ(e)θ(re) aspa ⅩⅬ.,
14,fragment of sarcophagus (nenfro),SE 69 (2003) REE 18 (tav. XXIV),Daniele Maras,Funerary Texts,Ager Tarquiniensis (Cencelle),recent,[ - - - ]elcial c[lan]	[ - - - avils - - -]em ceal[χls],The editor suggests that the feminine gentilicium in line 1 can be restored as [v]elcial or as [f]elcial. The latter is well documented as a name at Tarquinia in the 4th and 3rd century B.C.,
15,Attic skyphos (ceramic),SE 69 (2003) REE 26 (tav. XXVI),Daniele Maras,Prohibitions,Pyrgi,500-450,[cav]aθas mi seχis ein men[p]e kape mi nunax,,
16,vase (ceramic),SE 69 (2003) REE 27 (tav. XXVI),Daniele Maras,Religious Texts,Pyrgi,500-450,mi χavexx,The final portion of the inscription could read either χaves or χavexs.,
17,Attic kylix (ceramic),SE 69 (2003) REE 28 (tav. XXVI),Daniele Maras,Religious Texts,Pyrgi,500-450,mi cavaθa[s],,
18,fragment of amphora (ceramic),SE 69 (2003) REE 24 (tav. XXV),Daniele Maras,Religious Texts,Pyrgi,500-450,σur[ - - - ],The inscription was written in dextroverse direction.,
19,cup (ceramic),SE 69 (2003) REE 25 (tav. XXVI),Daniele Maras,Religious Texts,Pyrgi,500-450,arφial ·,The inscription was painted in circular ductus on the bottom of a bowl belonging to the Spurinas type.,
20,Attic kylix (ceramic),SE 69 (2003) REE 29 (tav. XXVII),Giovanni Colonna,Dedications,Pyrgi,500-450,etun hercles carucra	II,"Presumably, the verb turce is to be supplied.",
21,Attic amphora (ceramic),SE 69 (2003) REE 56 (tav. XXXII),Dominique Briquel,Proprietary Texts,Unknown (South),525-500,aranθ pecenas,,
22,Attic oinochoe (ceramic),SE 69 (2003) REE 30 (tav. XXVII),Daniele Maras,Other/Unclear Texts,Pyrgi,450,zilc,"According to the editor, the letter following gamma could be lambda or iota. Restoration of iota yields a locative case form zilci.",
23,Attic kylix (ceramic),SE 69 (2003) REE 31 (tav. XXVII),Daniele Maras,Religious Texts,Pyrgi,500-400,cavaθas,,
24,Attic skyphos (ceramic),SE 69 (2003) REE 32 (tav. XXVII),Daniele Maras,Other/Unclear Texts,Pyrgi,450-400,inθs	me,Fragment of Attic skyphos.,
25,fragment of cup (ceramic),SE 69 (2003) REE 33 (tav. XXVII),Daniele Maras,Other/Unclear Texts,Pyrgi,450-400,ricin,It's possible that the inscription is to be restored as vestricina. This gentilicium is found in other inscriptions from this area.,
26,fragment of olla (impasto),SE 69 (2003) REE 34 (tav. XXVIII),Daniele Maras,Religious Texts,Pyrgi,450-400,mi cavuθas,,
27,lamina (lead),SE 69 (2003) REE 55 (tav. XXXIb),Giovanni Colonna - Francesco di Mario,Other/Unclear Texts,Latium (Ardea),recent,vel uθras	mlaχ,The final vertical stroke in line 1 is most likely an error.,
28,pyxis (bucchero),SE 64 (2001) 201-212 (tav. XXXIII-XXXIV),Larissa Bonfante - Rex Wallace,Proprietary Texts,Unknown,625-600,mi sunθeruza spurias mlakas,The inscription was incised around the lip of the pyxis.,"Larissa Bonfante - Rex Wallace. 2001. An Etruscan pyxis named sunθeruza. SE 64.201-212.	Giuliano Bonfante - Larissa Bonfante. 2002. The Etruscan Language:	An Introduction, pp. 137-38, no. 10, fig. 16. 2nd edition. Manchester:	Manchester University Press.	Rex Wallace. 2008. Zikh Rasna. A Manual of the Etruscan Language and Inscriptions, pp. 159-60. Ann Arbor: Beech Stave Press."
29,Attic kylix (ceramic),ZPE 111 (1996) 291-294 (tav. IX),Rex Wallace,Dedications,Unknown,500-450,[ecn . tur]ce . cavi . cr[ai]culi . hercle.s.,"The first inscription was incised on the bottom of the foot of the kylix	along the outer portion of the rim. This inscription belongs to the	archaic period and thus sometime shortly after production of the kylix.	The second inscription, which is chronologically later and dates to the	recent Etruscan period, was incised inside of and parallel to the first	inscription. This inscription appears to have been added after the kylix was repaired because of damage to the foot of the vessel.","Heurgon, J. 1989. Graffite etrusques au J. Paul Getty Museum. Greek Vases in the J. Paul Getty Museum 4.181-186.	Martelli, M. 1991. Dedica Ceretana a Hercle. AC 42.613-621.	Wallace, R. 1996. Etruscan Inscriptions on an Attic Kylix in the J. Paul Getty Museum: Addenda et Corrigenda. ZPE 111.291-294 (tav. IX)."
30,Attic olpe (ceramic),SE 69 (2003) REE 57 (tav. XXXII),Serena Privitera,Other/Unclear Texts,Unknown,510-490,tul,The inscription was incised on the bottom of the foot of the vase. A Greek trademark de is also incised there.,
31,mirror (bronze),SE 69 (2003) REE 58,Dominique Briquel,Didaskalia,Unknown,recent,alθe melacre φurθ,"Four figures incised on the mirror represent the return of Meleager after the hunt for the boar of Calydon.		Alθe is perhaps an abbreviation for Alθea, the mother of Meleager. φurθ is an abbreviation that refers to the grandson of Meleager.  The editor recommends that it be completed as φurθun.",
32,cinerary urn (ceramic),SE 69 (2003) REE 60 (tav. XXXII),Dominique Briquel,Funerary Texts,Unknown,recent,ar . venate . venun[ias],The inscription was painted in black letters on the cask of the urn. The	morphology of the urn points to Chiusi as the place of origin.,
33,cinerary urn (ceramic),SE 69 (2003) REE 61 (tav. XXXII),Dominique Briquel - Laurent Hugot,Funerary Texts,Unknown,recent,[θa]nia [ - - - ] lat[inial],"The inscription, of which only traces remain, was painted along the	upper border of the cask. The reading suggested by the editors is	possible, but speculative.",
34,cover of cinerary urn (sandstone),SE 63 (1999) REE 1 (tav. XXII),Margherita Scarpellini,Funerary Texts,Ager Cortonensis (Castiglion Fiorentino),300-200,vêl : têtn[ie : ] vêlχe[s],The letter ê with diacritic represents an epsilon that is written retrograde with respect to the direction of writing.,
35,plate (bucchero),SE 63 (1999) REE 2 (tav. XXII),Margherita Scarpellini,Proprietary Texts,Ager Cortonensis (Castiglion Fiorentino),600-500,mi θanuχvilus,,
36,fragment of small olla (ceramic),SE 63 (1999) REE 3 (tav. XXII),Margherita Scarpellini,Proprietary Texts,Ager Cortonensis (Castiglion Fiorentino),300-200,mi za[ - - - ],The text was painted in black.,
37,fragment of cup (ceramic),SE 63 (1999) REE 5 (tav. XXIII),Margherita Scarpellini,Proprietary Texts,Ager Cortonensis (Castiglion Fiorentino),300,mi aves,,
38,fragment of plate (ceramic),SE 63 (1999) REE 6 (tav. XXIII),Margherita Scarpellini,Proprietary Texts,Ager Cortonensis (Castiglion Fiorentino),250-200,veθalus,,
39,cup (ceramic),SE 63 (1999) REE 4 (tav. XXII),Margherita Scarpellini,Proprietary Texts,Ager Cortonensis (Castiglion Fiorentino),300,mi a,,
40,cinerary urn,SE 63 (1999) REE 7 (tav. XXIII),Giulio Paolucci,Abecedaria,Ager Clusinus (Chiaciano Terme),500,a e v z h θ,The text was incised in the upper lefthand portion of the front of the cask.,
41,cippus (sandstone),SE 63 (1999) REE 11 (tav. XXIII),Giovanni Colonna,Funerary Texts,Clusium,archaic,velχe : [ - - - ],Punctuation is in the form of three puncts aligned vertically.,
42,circular slab (stone),SE 63 (1999) REE 8 (tav. XXIII),Giulio Paolucci,Abecedaria,Ager Clusinus (Chiaciano Terme),520-500,a c e v z h,The abecedarium was incised in dextrograde ductus.,
43,cippus (stone),SE 63 (1999) REE 9 (tav. XXIV),Giulio Paolucci,Funerary Texts,Ager Clusinus (Chiaciano Terme),550-500,mi lauχumeσa katilas,The inscription was incised in spiraliform ductus.,
44,cinerary urn (travertine),SE 63 (1999) REE 10 (tav. XXIII),Ole Hjordt-Vetlesen,Funerary Texts,Ager Clusinus (Sarteano),100,l · arntni · vmranal,Note the spelling of the vowel /u/ by means of wau.,
45,tablet (bronze),SE 63 (1999) REE 12 (tav. XXV),Mario Cygielman,Other/Unclear Texts,Vetulonia,200,[ - - - ]pin[ - - - ]	[ - - - ]σval[ - - - ]	[ - - ]a · nap[ - - - ]	[ - - - ]rins[ - - -],"The tablet was found a short distance from a tomb, so it's possible that the text is a lex sepulcralis.		Line 1 is separated from lines 2-4 by spacing, a feature that suggests that line 2 was the beginning of a new section.","Angeletti, Maristella Pandolfini. 2002. Le tavole di bronzo in Etruria. In La	Tabula Cortonensis e il suo contesto storico-archeologico. Atti	dell'Incontro di studio (22 giugno 2001), pp. 53-64. Roma: Consiglio	Nazionale delle Ricerche."
46,sarcophagus (peperino),SE (1999) REE 13 (tav. XXV),Giovanni Colonna,Funerary Texts,Tarquinia,300,[ - - - ]an : ecnatia[l - - - ],The editor restores the beginning of fragment as [cl]an 'son'.,
47,wall of tomb (stone),SE 63 (1999) REE 14 (tav. XXV),Massimo Morandi,Funerary Texts,Tarquinia,archaic,petui [:] nanisiei,The form of the punctuation between the first name and the last is	uncertain. This inscription was incised in the same tomb chamber as ETP	48.,
48,wall of tomb (stone),SE 63 (1999) REE 15 (tav. XXV),Massimo Morandi,Funerary Texts,Tarquinia,archaic,velχasnas,This inscription was incised in the same tomb chamber as ETP 47.,
49,wall of tomb (stone),SE 63 (1999) REE 16 (tav. XXV),Massimo Morandi,Funerary Texts,Tarquinia,recent,vel[ - - - ]	LI,The text was painted in black on the wall of chamber 1 in the Tomba dell'Orco.		The editor suggests that the name in line 1 may be restored as vel[θur] or as vel[χa]. The number LI refers to the age of the deceased.,
50,sarcophagus (nenfro),SE 63 (1999) REE 17 (tav.XXV),Massimo Morandi,Funerary Texts,Tarquinia,330-300,[ - - - ] arnθal : seχ [:] atial,,
51,sarcophagus (nenfro),SE 63 (1999) REE 18 (tav.XXIX),Massimo Morandi,Funerary Texts,Tarquinia,340-330,camnas vel	larθal,,
52,cippus (stone),SE 63 (1999) REE 19 (tav. XXVI),Massimo Morandi,Funerary Texts,Tarquinia,250,sepres · a · a · VI	svalce · avil · XL,,
53,cippus (nenfro),SE 63 (1999) REE 20 (tav. XXVI),Massimo Morandi,Funerary Texts,Tarquinia,recent,velχi θan	a,"The final letter of the first name of the deceased, which was partially damaged by a break in the stone, appears in line 2.",
54,bowl (ceramic),SE 65-68 (2002) REE 1 (tav. XXX),Francesca Piva,Proprietary Texts,Venetia (Adria),150,me,The editor thinks that me may be an abbreviation for the name meis.,
55,bowl (ceramic),SE 65-68 (2002) REE 4,Francesca Piva,Proprietary Texts,Venetia (Adria),150-100,uniθiu,,
56,plate (ceramic),SE 65-68 (2002) REE 3 (tav. XXX),Francesca Piva,Proprietary Texts,Venetia (Adria),300-250,tutis,The final letter is a three-bar sigma.,
57,bowl (ceramic),SE 65-68 (2002) REE 2 (tav. XXX),Francesca Piva,Proprietary Texts,Venetia (Adria),300,tite,,
58,cippus (nenfro),SE 63 (1999) REE 21 (tav. XXVI),Massimo Morandi,Funerary Texts,Tarquinia,recent,nan[ - - - ],,
59,cippus (nenfro),SE 63 (1999) REE 22 (tav. XXVI),Massimo Morandi,Funerary Texts,Tarquinia,250,curs[ni]	θana,,
60,stone cippus,SE 63 (1999) REE 23 (tav. XXVI),,Construction Texts,Tarquinia,300-200,[v]elθri[es · ] a	[a]rce · ta[m]er	[a · ] ril · L,,
61,block (stone),SE 63 (1999) REE 24 (tav. XXVI),Massimo Morandi,Other/Unclear Texts,Tarquinia,500-400,hursu[mnas - - - ],"The editor restores the missing portion of the family name based on ursumnas, which is attested at Tarquinia, though without word-initial h.		It is possible that this inscription was incised on a stone block that	formed the architrave of a chamber tomb. However, the stone was actually	discovered in an urban context and this does not jibe with a funereal	function for the text.",
62,fragment of cippus (stone),SE 63 (1999) REE 25 (tav. XXVI),Massimo Morandi,Funerary Texts,Tarquinia,500,[ - - - ]lus · cles[ - - - ],"The stone was squared off and placed in the wall of a convent. Possible restorations for the first word are [vene]lus and [θanaχvi]lus, both genitive singular forms. How cles[ - -  - ] is to be restored is unclear.",
63,wall of tomb (stone),SE 63 (1999) REE 26,Massimo Morandi,Funerary Texts,Tarquinia,recent,ramθa · camnai,,
64,wall of tomb (stone),SE 63 (1999) REE 27,Massimo Morandi,Funerary Texts,Tarquinia,recent,vel : vestrcnie,,
65,plate (impasto),SE 63 (1999) REE 28 (tav. XXVII),Giovanni Colonna,Proprietary Texts,Caere,625-600,hetaθaσa,The inscription was incised in dextroverse direction. The sigma spelling the palatal sibilant /š/ has four bars.,
66,cup (ceramic),SE 63 (1999) REE 30 (tav. XXVII),Pietro Tamburini,Proprietary Texts,Ager Caeretanus (San Giuliano),600-550,zureθ,,
67,cup (ceramic),SE 63 (1999) REE 31 (tav. XXVII),Barbara Grassi,Proprietary Texts,Campania (Capua),550-500,mi laivuzas,,
68,fragment of cup (bucchero),SE 63 (1999) REE 32 (tav. XXVII),Valentina Cosentini,Proprietary Texts,Campania (Capua),530-470,mi larices,,
69,amphora (ceramic),SE 63 (1999) REE 33 (tav. XXVII),Giovanni Colonna,Religious Texts,Campania (Pontecagnano),550-500,manθ,,
70,olpe (bronze),SE 63 (1999) REE 34 (tav. XXVIII),Maurizio Sannibale,Proprietary Texts,Campania (unknown),475-450,m[i c]naives tinθuruσla,,
71,cista (bronze),SE 63 (1999) REE 35 (tav. XXVIII),Alessandro Naso,Funerary Texts,Unknown,300,σu[θina],,
72,bowl (ceramic),SE 63 (1999) REE 36 (tav. XXVIII),Giovanni Colonna,Proprietary Texts,Unknown S,500-400,larθ velarnies,,
73,bowl (bucchero),SE 63 (1999) REE 37 (tav. XXVIII),Dominique Briquel,Proprietary Texts,Unknown (South),500,qurianas,,
74,tablet (bronze),2000. Tabula Cortonensis (tav. 1-35),Luciano Agostiniani - Francesco Nicosia,Legal Texts,Cortona,300-200,Side A:	e{.}t · pêtruis σcê [vacat] vês êliunts · v	inac · restmc · cen [vacat] u · tênθur sar · cuσ	uθuras · lariσaliσvla · peσc · σpante · tênθur ·	sa · sran · sarc · clθil · têrσna · θui · σpanθi · ml	esiêθic · rasna ΣIII&gt; [vacat] inni · peσ · pêtrus · pav	ac · traulac · tiur · tênθurc · tênθa · zacinat · pr	iniserac · zal // cs · êsis · vêrê cuσuθursum · p	eσ · pêtrusta · σceva [s] // nuθantur · lart · petr	uni · arnt · pini · lart · vipi · luσce · lariσ · σalini · v	êtnal · lart · vêlara · larθaliσa · lart · vêlara	auleσa · vel · pumpu · pruciu · aule · cêlatina · σê	tmnal · arnza · fêlσni · vêlθinal · vêl · luiσna	lusce · vêl · uσlna · nufreσa · laru · σlanzu · larz	a lartle vêl aves arnt · pêtru · raufe // êpru	s · ame · velχe · cuσu lariσal · cleniarc · lariσ	cuσu · lariσaliσa larizac · clan · lariσal · pêtr	u · σcêvas · arntlei · pêtrus · puia [vacat]	cên · zic · ziχuχe · σparzêstis · sazleis · in	θuχti · cuσuθuras · σuθiu · ame · tal · σuθive	nas · ratm · θuχt . cesu · tltel · têi · σians · σpa	rzête · θui · σalt · zic · fratuce · cuσuθurus · la	riσaliσvla · pêtrusc · σcêvas · peσs · tarχian	es // cnl · nuθe · malec · lart · cucrina · lauσiσa ·	zilaθ · meχl · rasnal · l[a]riσ · cêlatina lau	σa [cl]anc · arnt · luσcni · [a]rnθal · clanc · larz	a · lart · turnma · σalina[l - - - a]	pnal · cleniarc · velχe [ - - - papal]	serc · vêlχe · cuσu · aule[σa - - - ]	aninalc · lariσ · fuln[i - - - ]	rc · lart · pêtce · uσlnal [ · - - - ]	inaθur · têcσinal · vel[ - - - ]	us · lariσc · cuσu · uσlna[l - - - ]			Side B:		aule σalini [vacat] cuσual [vacat]	zilci · larθal · c [vacat] uσus · titlnal	lariσalc · σalinis auleσla · celtinêitiσ	s · tarσminass · σparza · in · θuχt cesu	ratm · σuθiu · σuθiuσvê · velχes · cuσus a	uleσla · velθurus · titlnis · velθuruσla .	larθalc · cêlatinas apnal · lariσalc cê	latinas · titlnal,"We follow the text as published in Maggiani 2001, pp. 95-96. There are 7	sections. These are indicated in four cases (Side A, lines 7, 8, 14,	and 23) by special signs, which we transliterate as //. In two	instances ample spacing between words (Side A, line 17 and Side B, line	1) signals a new section. Missing portions of text are restored	according to suggestions offered by Agostiniani &amp; Nicosia 2000.","Agostiniani, Luciano &amp; Francesco Nicosia. 2000. Tabula Cortonensis. Roma: ""L'Erma"" di Bretschneider.	De Simone, C. 1998 [2000]. La Tabula Cortonensis: Tra linguistica e storia. Annali della Scuola Normale Superiore di Pisa. Classe di lettere e filosofia 3.1-122.	—. 2001-2002. Il testo etrusco della Tabula Cortonensis: un primo bilancio critico. Ocnus 9-10.69-111.	—. 2002. Su due termini della Tabula Cortonensis. Incontri Linguistici 25.77-85.	Eichner, Heiner. 2001. Etruskisch -svla auf der Bronze von Cortona. In F. Cavoto, ed., The Complete Linguist. A collection of papers in honor of Alexis Manaster Ramer, pp. 141-152. Münich.	Facchetti, Giulio. 2000. Frammenti di diritto privato etrusco. Firenze: Leo S. Olschki.	Maggiani, Adriano. 2001. Dagli archivi dei Cusu. Considerazioni sulla tavola bronzea di Cortona. Rivista di Archeologia 25.94-114.	Pandolfini, Maristella &amp; Adriano Maggiani, eds. 2002. La Tabula Cortonensis e il suo contesto storico-archaeologico. Atti dell’Incontro di studio, 22 giugno 2001. Rome: Consiglio Nazionale delle Ricerche.	Rix, Helmut. 2000. Osservazioni preliminari ad una interpretazione dell’aes cortonense. Incontri linguistici 23.11-31.	Wylin, Koen. 2002. Forme verbali nella Tabula Cortonensis. Studi Etruschi 65-68.215-223.	Zamboni, A. 2002. Sigla del quattuorvirato nella tavola di Cortona. Athenaeum 90.431-441.			In the book of papers edited by Pandolfini &amp; Maggiani (2002),	the most important papers dealing with the interpretation of the Tabula	are:			Facchetti, Giulio. 2002. La Tabula Cortonensis come documento	giuridico. In Pandolfini, Maristella &amp; Adriano Maggiani, eds.	2002. La Tabula Cortonensis e il suo contesto storico-archaeologico. Atti dell’Incontro di studio, 22 giugno 2001, pp. 87-99. Rome: Consiglio Nazionale delle Ricerche.	Maggiani, Adriano. 2002. Riflessioni sulla Tavola di Cortona. Pandolfini, Maristella &amp; Adriano Maggiani, eds. 2002. La Tabula Cortonensis e il suo contesto storico-archaeologico. Atti dell’Incontro di studio, 22 giugno 2001, pp. 65-75. Rome: Consiglio Nazionale delle Ricerche.	Rix, Helmut. 2002. La seconda metà del nuovo testo di Cortona. In Pandolfini, Maristella &amp; Adriano Maggiani, eds. 2002. La Tabula Cortonensis e il suo contesto storico-archaeologico. Atti dell’Incontro di studio, 22 giugno 2001, pp. 77-86. Rome: Consiglio Nazionale delle Ricerche."
75,wall of tomb (stone),SE 63 (1999) REE 41 (tav. XXX),Massimo Morandi,Funerary Texts,Tarquinia,350-300,[ - - - ]n[ . . . . ]a[ . . . ]a[ . ]ce[ . . . . . ]	[ - - - ] tence [:] zi[l]cti [ - - - ]	[ - - - ]rac [:] ravlaθ : acn[anas - - - ]	[ - - - ],The funerary inscription is in the form of an elogium.,"Cavagnaro Vanoni, L. 1996. Tombe tarquiniesi di eta ellenistica. Roma.			For discussion of the inscriptions see Appendix II by M. Pandolfini Angeletti, pp. 371-374."
76,wall of tomb (stone),SE 63 (1999) REE 42 (tav. XXX),Massimo Morandi,Funerary Texts,Tarquinia,350-300,[ . . . . . . . . : ] a[r]n[θ : ] mulaθ [ : ] arnθal : cla[n]	[ . . . . . . ]c : a[ti]a[l : ] zilc[ti :] θelmizas [ : ] s[p]ural : fasci	[ . . . . . . . . : ] mulauc [ : ] ten[ce : ] avil : θu [ : c]ealc	[ - - - ],"The text, which details the political career of the deceased (cursus honorum), is painted in black over an earlier inscription that it obliterates.			Bibliography:		Cavagnaro Vanoni, L. 1996. Tombe tarquiniesi di eta ellenistica. Roma.			For discussion of the inscriptions see Appendix II by M. Pandolfini Angeletti, pp. 371-374.",
77,wall of tomb (stone),SE 63 (1999) REE 43,Massimo Morandi,Funerary Texts,Tarquinia,350-300,[ - - - ]	xeri : spu[reri - - - ]	[ - - - ]cs[ - - - ],This text was painted in black. It seems likely that this text presented the cursus honorum of the deceased.,
78,cippus (stone),SE 63 (1999) REE 44,Massimo Morandi,Funerary Texts,Tarquinia,300-100,alσinas	xlx XX,,
79,small jug (ceramic),SE 63 (1999) REE 48,Daniele Maras,Proprietary Texts,Veii,300-200,mi tiu,,
80,cup (ceramic),SE 63 (1999) REE 49,Rex Wallace,Proprietary Texts,"Campania (Pompeii),",,pleniiunas,,"Blanck, Horst. 1996. Studi Etruschi 61, REE 5."
81,oenochoe (ceramic),SE 63 (1999) REE 50,Dominique Briquel,Other/Unclear Texts,Unknown (Narce ?),550-520,mi cipaχ,,
82,mirror (bronze),SE 63 (1999) REE 53,Adriano Maggiani,Didaskalia,Unknown S,350-300,zipunun prucnalu θalna,,"Bonfante, Larissa. 1997. Corpus Speculorum Etruscorum, USA 3: New	York, The Metropolitan Museum of Art. Roma: ""L'Erma"" di Bretschneider."
83,oenochoe (ceramic),Etruscan News 3 (2003) 7 &amp; 10,Dominique Briquel,Proprietary Texts,Unknown S,450-400,mi arnθial tetnies σuθiθi velclθi,"Although the find spot of this inscription is unknown, there can be no	doubt that the provenance is Vulci. The final word in the text is the	locative form of the name of the city, velclθi = 'in Vulci'.","Briquel, Dominique. 2003. An inscribed Etruscan Schnabelkanne in the Museum of Montpellier (France).	Etruscan News 3.7 &amp; 10.	Colonna, Giovanni. 2004. SE 70, REE 89, 357."
84,ceramic amphora,AC (1995) 47.261-266,Giovanni Colonna,Other/Unclear Texts,Ager Caeretanus (Castellina del Marangone),350-300,vel : flere [ : - - - ]	[ - - - ] veluske : [ - - - ],"The text was painted on the shoulder of the amphora, which is fragmentary. The editor notes that the orthography (k before e) and the family name flere	point to Volsinii as the source for the amphora and the inscription.	The editor suggests that the two persons named here were magistrates at	Volsinii and that their names served to date the year the wine was	produced.","Colonna, Giovanni. 1995. Anfora vinaria con iscrizione etrusca dalla Castellina del Marangone. AC 47.261-266."
85,bowl (ceramic),AION(ling) 14 (1992) 203-206,Luigi Pedroni,Proprietary Texts,Campania (unknown),350-300,truχiles,"Bibligraphy:		Pedroni, Luigi. 1992. Un graffito etrusco dalla Campania. AION(ling) 14.203-206.",
86,cinerary urn,SE 69 (2003) REE 63,Adriano Maggiani,Funerary Texts,Ager Volaterranus (Colle Valdelsa),500,mi venelus σ{:}hekuntenas,,"Cianferoni, G. C. 2002. L'Alta Valdelsa in età orientalizzante e arcaica. M. Manganelli - E. Pacchiani (eds.), Città e territorio in Etruria. Per una definizione di città nell'Etruria settentrionale, 83-126. Colle di Valdelsa."
87,cinerary urn (tufa),SE 69 (2003) REE 64,Adriano Maggiani,Funerary Texts,Ager Volaterranus (Colle Valdelsa),500,m[i a]runθia hevxle,,"Cianferoni, G. C. 2002. L'Alta Valdelsa in età orientalizzante e arcaica. M. Manganelli - E. Pacchiani (eds.), Città e territorio in Etruria. Per una definizione di città nell'Etruria settentrionale, 83-126. Colle di Valdelsa."
88,Attic amphora (ceramic),SE 69 (2003) REE 76,Giovanni Colonna,Proprietary Texts,Vulci,510-500,faltu,,
89,cup (impasto),SE 69 (2003) REE 78,Giovanni Colonna,Proprietary Texts,Ager Caeretanus (Tolfa),600,cua,,SE 58 (1993) REE 25.
90,applique (ceramic),SE 69 (2003) REE 79 (tav. XXXIV),Daniele Maras,Artisans' Texts,Falerii (Cività Castellana),300-250,evrs · ci,"The inscription was incised on the back side of a ceramic ornament in	the form of a standing woman. The inscription appears to be the name of	the artisan responsible for the piece or perhaps the workshop in which	it was produced. evrs is probably a name borrowed from Greek, viz., Εὕρυς. What the number ci	'three' refers to in this case is not clear to me.",
91,small amphora (ceramic),SE 69 (2003) REE 80,Giovanni Colonna,Abecedaria,Veii,675-650,a b c d,Alpha is tilted onto its left side. Beta and delta are in dextrograde ductus.,
92,bowl (ceramic),SE 65-68 (2002) REE 5 (tav. XXX),Francesca Piva,Proprietary Texts,Venetia (Adria),250,[ - - - ]kalu,,
93,pyxis (ceramic),SE 65-68 (2002) REE 6 (tav. XXX),Francesca Piva,Proprietary Texts,Venetia (Adria),200,spiu,,
94,plate (ceramic),SE 65-68 (2002) REE 7 (tav. XXX),Francesca Piva,Proprietary Texts,Venetia (Adria),200,uniθiu,,
95,plate (ceramic),SE 65-68 (2002) REE 9 (tav. XXX),Francesca Piva,Proprietary Texts,Venetia (Adria),300-250,atakus,The two inscriptions were incised on the bottom of the bowl directly opposite one another.,
96,plate (ceramic),SE 65-68 (2002) REE 10 (tav. XXX),Francesca Piva,Proprietary Texts,Venetia (Adria),300-250,laris atiu,,
97,plate (ceramic),SE 65-69 (2002) REE 11 (tav. XXX),Francesca Piva,Proprietary Texts,Venetia (Adria),250-150,{e} mi karku[ - - - ],,
98,bowl (ceramic),SE 65-68 (2002) REE 12 (tav. XXX),Francesca Piva,Proprietary Texts,Venetia (Adria),300,[ - - - ]s ta mi,The editor suggests the following restoration for the text: [kavi]s ta mi.,
